,Gender,Age,Pclass,Parch,SibSp
0,1,22.0,3,0,1
1,0,38.0,1,0,1
2,0,26.0,3,0,0
3,0,35.0,1,0,1
4,1,35.0,3,0,0
5,1,29.69327731092437,3,0,0
6,1,54.0,1,0,0
7,1,2.0,3,1,3
8,0,27.0,3,2,0
9,0,14.0,2,0,1
10,0,4.0,3,1,1
11,0,58.0,1,0,0
12,1,20.0,3,0,0
13,1,39.0,3,5,1
14,0,14.0,3,0,0
15,0,55.0,2,0,0
16,1,2.0,3,1,4
17,1,29.69327731092437,2,0,0
18,0,31.0,3,0,1
19,0,29.69327731092437,3,0,0
20,1,35.0,2,0,0
21,1,34.0,2,0,0
22,0,15.0,3,0,0
23,1,28.0,1,0,0
24,0,8.0,3,1,3
25,0,38.0,3,5,1
26,1,29.69327731092437,3,0,0
27,1,19.0,1,2,3
28,0,29.69327731092437,3,0,0
29,1,29.69327731092437,3,0,0
30,1,40.0,1,0,0
31,0,29.69327731092437,1,0,1
32,0,29.69327731092437,3,0,0
33,1,66.0,2,0,0
34,1,28.0,1,0,1
35,1,42.0,1,0,1
36,1,29.69327731092437,3,0,0
37,1,21.0,3,0,0
38,0,18.0,3,0,2
39,0,14.0,3,0,1
40,0,40.0,3,0,1
41,0,27.0,2,0,1
42,1,29.69327731092437,3,0,0
43,0,3.0,2,2,1
44,0,19.0,3,0,0
45,1,29.69327731092437,3,0,0
46,1,29.69327731092437,3,0,1
47,0,29.69327731092437,3,0,0
48,1,29.69327731092437,3,0,2
49,0,18.0,3,0,1
50,1,7.0,3,1,4
51,1,21.0,3,0,0
52,0,49.0,1,0,1
53,0,29.0,2,0,1
54,1,65.0,1,1,0
55,1,29.69327731092437,1,0,0
56,0,21.0,2,0,0
57,1,28.0,3,0,0
58,0,5.0,2,2,1
59,1,11.0,3,2,5
60,1,22.0,3,0,0
61,0,38.0,1,0,0
62,1,45.0,1,0,1
63,1,4.0,3,2,3
64,1,29.69327731092437,1,0,0
65,1,29.69327731092437,3,1,1
66,0,29.0,2,0,0
67,1,19.0,3,0,0
68,0,17.0,3,2,4
69,1,26.0,3,0,2
70,1,32.0,2,0,0
71,0,16.0,3,2,5
72,1,21.0,2,0,0
73,1,26.0,3,0,1
74,1,32.0,3,0,0
75,1,25.0,3,0,0
76,1,29.69327731092437,3,0,0
77,1,29.69327731092437,3,0,0
78,1,1.0,2,2,0
79,0,30.0,3,0,0
80,1,22.0,3,0,0
81,1,29.0,3,0,0
82,0,29.69327731092437,3,0,0
83,1,28.0,1,0,0
84,0,17.0,2,0,0
85,0,33.0,3,0,3
86,1,16.0,3,3,1
87,1,29.69327731092437,3,0,0
88,0,23.0,1,2,3
89,1,24.0,3,0,0
90,1,29.0,3,0,0
91,1,20.0,3,0,0
92,1,46.0,1,0,1
93,1,26.0,3,2,1
94,1,59.0,3,0,0
95,1,29.69327731092437,3,0,0
96,1,71.0,1,0,0
97,1,23.0,1,1,0
98,0,34.0,2,1,0
99,1,34.0,2,0,1
100,0,28.0,3,0,0
101,1,29.69327731092437,3,0,0
102,1,21.0,1,1,0
103,1,33.0,3,0,0
104,1,37.0,3,0,2
105,1,28.0,3,0,0
106,0,21.0,3,0,0
107,1,29.69327731092437,3,0,0
108,1,38.0,3,0,0
109,0,29.69327731092437,3,0,1
110,1,47.0,1,0,0
111,0,14.0,3,0,1
112,1,22.0,3,0,0
113,0,20.0,3,0,1
114,0,17.0,3,0,0
115,1,21.0,3,0,0
116,1,70.0,3,0,0
117,1,29.0,2,0,1
118,1,24.0,1,1,0
119,0,2.0,3,2,4
120,1,21.0,2,0,2
121,1,29.69327731092437,3,0,0
122,1,32.0,2,0,1
123,0,32.0,2,0,0
124,1,54.0,1,1,0
125,1,12.0,3,0,1
126,1,29.69327731092437,3,0,0
127,1,24.0,3,0,0
128,0,29.69327731092437,3,1,1
129,1,45.0,3,0,0
130,1,33.0,3,0,0
131,1,20.0,3,0,0
132,0,47.0,3,0,1
133,0,29.0,2,0,1
134,1,25.0,2,0,0
135,1,23.0,2,0,0
136,0,19.0,1,2,0
137,1,37.0,1,0,1
